2026-06-28 21:33:27,403 | INFO | Iniciando geração dos áudios.
2026-06-28 21:33:27,403 | INFO | Iniciando geração de áudio.
2026-06-28 21:33:27,935 | INFO | Áudio criado: 001.mp3
2026-06-28 21:33:28,575 | INFO | Áudio criado: 002.mp3
2026-06-28 21:33:28,940 | INFO | Áudio criado: 003.mp3
2026-06-28 21:33:29,424 | INFO | Áudio criado: 004.mp3
2026-06-28 21:33:30,187 | INFO | Áudio criado: 005.mp3
2026-06-28 21:33:30,825 | INFO | Áudio criado: 006.mp3
2026-06-28 21:33:31,460 | INFO | Áudio criado: 007.mp3
2026-06-28 21:33:31,792 | INFO | Áudio criado: 008.mp3
2026-06-28 21:33:32,404 | INFO | Áudio criado: 009.mp3
2026-06-28 21:33:32,770 | INFO | Áudio criado: 010.mp3
2026-06-28 21:33:33,120 | INFO | Áudio criado: 001.mp3
2026-06-28 21:33:33,469 | INFO | Áudio criado: 002.mp3
2026-06-28 21:33:34,088 | INFO | Áudio criado: 003.mp3
2026-06-28 21:33:35,076 | INFO | Áudio criado: 004.mp3
2026-06-28 21:33:35,448 | INFO | Áudio criado: 005.mp3
2026-06-28 21:33:35,811 | INFO | Áudio criado: 006.mp3
2026-06-28 21:33:36,156 | INFO | Áudio criado: 007.mp3
2026-06-28 21:33:36,507 | INFO | Áudio criado: 008.mp3
2026-06-28 21:33:36,851 | INFO | Áudio criado: 009.mp3
2026-06-28 21:33:37,194 | INFO | Áudio criado: 010.mp3
2026-06-28 21:33:37,793 | INFO | Áudio criado: 001.mp3
2026-06-28 21:33:38,159 | INFO | Áudio criado: 002.mp3
2026-06-28 21:33:38,752 | INFO | Áudio criado: 003.mp3
2026-06-28 21:33:39,252 | INFO | Áudio criado: 004.mp3
2026-06-28 21:33:39,606 | INFO | Áudio criado: 005.mp3
2026-06-28 21:33:39,939 | INFO | Áudio criado: 006.mp3
2026-06-28 21:33:40,790 | INFO | Áudio criado: 007.mp3
2026-06-28 21:33:41,153 | INFO | Áudio criado: 008.mp3
2026-06-28 21:33:41,736 | INFO | Áudio criado: 009.mp3
2026-06-28 21:33:42,213 | INFO | Áudio criado: 010.mp3
2026-06-28 21:33:42,217 | INFO | Geração de áudio concluída.
2026-06-28 21:33:42,218 | INFO | Áudios finalizados.
2026-06-28 21:33:42,218 | INFO | Gerando arquivos do Anki.
2026-06-28 21:33:42,219 | INFO | Gerando arquivos do Anki.
2026-06-28 21:33:42,220 | INFO | CSV criado: 001_greetings_import.csv
2026-06-28 21:33:42,221 | INFO | CSV criado: 002_family_import.csv
2026-06-28 21:33:42,223 | INFO | CSV criado: 003_travel_import.csv
2026-06-28 21:33:42,223 | INFO | Arquivos do Anki finalizados.
